id,ime_obcine,regija,UE,povrsina,prebivalci,prirast,delovna_aktivnost,placa,podjetja,starost_avtomobila
1,Ajdovščina,goriška,Ajdovščina,245,19364,8.9,69.1,1055.98,703624000,11.8
2,Apače,pomurska,Gornja Radgona,54,3532,5.1,45.0,978.9,27489000,9.7
3,Beltinci,pomurska,Murska Sobota,62,8098,-5.6,59.0,953.26,103717000,9.9
4,Benedikt,podravska,Lenart,24,2584,14.7,59.0,966.69,27658000,10.3
5,Bistrica ob Sotli,posavska,Šmarje pri Jelšah,31,1333,6.8,63.7,1042.67,10954000,11.5
6,Bled,gorenjska,Radovljica,72,7846,4.3,69.8,1083.43,257910000,9.5
7,Bloke,primorsko-notranjska,Cerknica,75,1567,6.4,76.3,997.5,19106000,10.7
8,Bohinj,gorenjska,Radovljica,334,5118,7.6,70.7,942.68,110005000,10.5
9,Borovnica,osrednjeslovenska,Vrhnika,42,4547,20.9,67.3,1004.54,79670000,10.1
10,Bovec,goriška,Tolmin,367,3074,8.1,68.7,1013.69,144481000,10.2
11,Braslovče,savinjska,Žalec,55,5584,20.6,67.0,1046.48,92746000,10.5
12,Brda,goriška,Nova Gorica,72,5632,2.8,64.1,1053.76,109458000,11.9
13,Brezovica,osrednjeslovenska,Ljubljana,91,12527,19.9,70.7,1025.21,499091000,9.8
14,Brežice,posavska,Brežice,268,24157,-1.4,65.1,1029.86,594381000,10.9
15,Cankova,pomurska,Murska Sobota,31,1724,-0.6,48.3,965.71,18831000,10.1
16,Celje,savinjska,Celje,95,49602,1.4,67.3,1093.56,4132461000,9.9
17,Cerklje na Gorenjskem,gorenjska,Kranj,78,7712,17.6,70.5,1433.9,585437000,9.5
18,Cerknica,primorsko-notranjska,Cerknica,241,11625,2.0,71.0,959.86,354622000,10.8
19,Cerkno,goriška,Idrija,132,4577,-7.2,71.9,949.08,90120000,11.0
20,Cerkvenjak,podravska,Lenart,25,2080,12.5,62.3,939.26,24963000,10.7
21,Cirkulane,podravska,Ptuj,32,2362,-18.6,61.9,970.61,17721000,10.9
22,Črenšovci,pomurska,Lendava,34,3958,4.8,56.3,997.24,41606000,10.2
23,Črna na Koroškem,koroška,Ravne na Koroškem,156,3281,-5.5,55.5,1112.79,99502000,10.3
24,Črnomelj,jugovzhodna Slovenija,Črnomelj,340,14307,-4.2,66.8,979.68,283349000,11.1
25,Destrnik,podravska,Ptuj,34,2617,21.8,64.9,974.38,29474000,10.7
26,Divača,obalno-kraška,Sežana,145,4195,13.3,69.5,1022.72,98284000,11.1
27,Dobje,savinjska,Šentjur pri Celju,18,965,-17.6,72.2,1156.58,26465000,11.2
28,Dobrepolje,osrednjeslovenska,Grosuplje,103,3838,4.4,66.8,954.19,65267000,10.3
29,Dobrna,savinjska,Celje,32,2240,3.6,62.9,975.49,32355000,10.8
30,Dobrova - Polhov Gradec,osrednjeslovenska,Ljubljana,118,7752,17.2,69.5,974.23,139691000,10.5
31,Dobrovnik,pomurska,Lendava,31,1287,0.0,56.5,1023.1,16083000,10.2
32,Dol pri Ljubljani,osrednjeslovenska,Ljubljana,33,6295,14.3,69.9,1182.76,248384000,9.6
33,Dolenjske Toplice,jugovzhodna Slovenija,Novo mesto,110,3525,17.6,71.6,1043.58,35601000,9.7
34,Domžale,osrednjeslovenska,Domžale,72,36429,11.4,69.4,1044.06,1493619000,9.7
35,Dornava,podravska,Ptuj,28,2894,2.8,55.9,1062.44,32326000,10.6
36,Dravograd,koroška,Dravograd,105,8849,11.3,62.7,1034.73,225446000,10.0
37,Duplek,podravska,Maribor,40,6955,7.9,63.6,915.14,61667000,10.7
38,Gorenja vas - Poljane,gorenjska,Škofja Loka,153,7560,2.2,70.3,1100.39,138931000,10.8
39,Gorišnica,podravska,Ptuj,29,4097,11.2,63.3,938.51,67017000,10.5
40,Gorje,gorenjska,Radovljica,116,2751,-9.8,66.3,1038.07,39715000,10.5
41,Gornja Radgona,pomurska,Gornja Radgona,75,8401,3.1,56.0,1041.16,496322000,9.8
42,Gornji Grad,savinjska,Mozirje,90,2506,-14.0,66.1,943.04,21892000,11.6
43,Gornji Petrovci,pomurska,Murska Sobota,67,1992,5.0,55.0,833.05,9105000,10.7
44,Grad,pomurska,Murska Sobota,37,2063,-17.0,46.5,981.47,10461000,10.3
45,Grosuplje,osrednjeslovenska,Grosuplje,134,21265,14.2,70.6,1029.15,860317000,9.6
46,Hajdina,podravska,Ptuj,22,3850,20.5,64.7,883.23,75324000,10.1
47,Hoče - Slivnica,podravska,Maribor,54,11848,-0.9,65.0,1081.57,528780000,10.1
48,Hodoš,pomurska,Murska Sobota,18,358,-2.8,36.0,832.76,238000,11.0
49,Horjul,osrednjeslovenska,Ljubljana,33,3032,3.3,72.6,1143.16,84845000,10.6
50,Hrastnik,zasavska,Hrastnik,59,9140,-4.3,61.3,1061.93,159800000,10.4
51,Hrpelje - Kozina,obalno-kraška,Sežana,195,4534,30.2,67.0,979.73,156528000,10.4
52,Idrija,goriška,Idrija,294,11797,5.3,72.8,1162.22,709165000,10.6
53,Ig,osrednjeslovenska,Ljubljana,99,7577,19.9,68.5,1046.23,114163000,10.3
54,Ilirska Bistrica,primorsko-notranjska,Ilirska Bistrica,480,13290,-2.9,68.9,1063.03,378807000,11.7
55,Ivančna Gorica,osrednjeslovenska,Grosuplje,227,16880,12.9,73.4,1075.69,455886000,9.8
56,Izola,obalno-kraška,Izola,29,16367,10.1,68.0,1083.32,383697000,10.3
57,Jesenice,gorenjska,Jesenice,76,21168,16.4,66.4,1136.95,960565000,9.7
58,Jezersko,gorenjska,Kranj,69,635,-12.6,70.4,1008.9,7727000,10.0
59,Juršinci,podravska,Ptuj,36,2367,7.6,57.3,1040.46,11506000,11.0
60,Kamnik,osrednjeslovenska,Kamnik,266,29847,7.8,69.5,1022.91,903289000,10.1
61,Kanal,goriška,Nova Gorica,147,5304,-1.9,63.7,1062.3,156712000,12.7
62,Kidričevo,podravska,Ptuj,72,6497,6.6,66.3,963.97,682368000,9.6
63,Kobarid,goriška,Tolmin,193,4078,-6.6,64.9,985.32,64064000,11.0
64,Kobilje,pomurska,Lendava,20,545,0.0,61.6,991.59,3054000,9.1
65,Kočevje,jugovzhodna Slovenija,Kočevje,555,15688,-0.8,60.4,1013.81,393855000,10.5
66,Komen,obalno-kraška,Sežana,103,3546,-1.4,62.4,925.25,62992000,11.7
67,Komenda,osrednjeslovenska,Kamnik,24,6345,18.8,71.7,1193.57,920532000,9.2
68,Koper,obalno-kraška,Koper,303,52540,7.3,67.8,1176.38,4379020000,10.4
69,Kostanjevica na Krki,posavska,Krško,58,2445,-7.0,69.3,868.06,69622000,11.3
70,Kostel,jugovzhodna Slovenija,Kočevje,56,643,-6.2,60.2,1009.09,8559000,10.3
71,Kozje,savinjska,Šmarje pri Jelšah,90,3053,-16.0,64.0,965.49,31155000,11.6
72,Kranj,gorenjska,Kranj,151,56715,14.3,69.2,1132.0,2675825000,10.0
73,Kranjska Gora,gorenjska,Jesenice,256,5206,4.4,67.7,1023.02,90167000,9.0
74,Križevci,pomurska,Ljutomer,46,3545,-6.5,60.4,1133.95,77907000,9.9
75,Krško,posavska,Krško,287,26117,8.8,67.8,1169.26,3399741000,10.6
76,Kungota,podravska,Pesnica,49,4734,3.4,55.9,916.8,72438000,10.3
77,Kuzma,pomurska,Murska Sobota,23,1574,0.0,34.4,917.21,14597000,9.4
78,Laško,savinjska,Laško,198,13023,4.5,66.5,1000.25,218867000,11.2
79,Lenart,podravska,Lenart,62,8443,8.8,58.6,964.53,294664000,10.1
80,Lendava,pomurska,Lendava,121,10464,1.3,60.6,1031.95,289803000,10.0
81,Litija,zasavska,Litija,221,15429,9.5,69.9,980.9,305543000,10.6
82,Ljubljana,osrednjeslovenska,Ljubljana,275,294113,8.6,66.0,1281.66,45504300000,9.2
83,Ljubno,savinjska,Mozirje,79,2547,3.9,66.8,1081.63,156769000,11.4
84,Ljutomer,pomurska,Ljutomer,107,11265,0.5,61.7,1067.33,332455000,10.4
85,Log - Dragomer,osrednjeslovenska,Vrhnika,11,3654,-3.8,68.8,994.51,39139000,9.9
86,Logatec,osrednjeslovenska,Logatec,173,14232,17.4,71.1,1073.38,524354000,9.9
87,Loška dolina,primorsko-notranjska,Cerknica,167,3797,3.2,68.9,931.23,109158000,11.5
88,Loški Potok,jugovzhodna Slovenija,Ribnica,135,1810,-5.0,66.2,1045.23,20077000,11.5
89,Lovrenc na Pohorju,podravska,Ruše,84,2974,-5.4,61.3,978.34,38350000,9.5
90,Luče,savinjska,Mozirje,110,1452,-9.6,64.7,932.51,44370000,12.6
91,Lukovica,osrednjeslovenska,Domžale,75,5882,9.0,71.5,1164.64,601668000,10.3
92,Majšperk,podravska,Ptuj,73,4067,2.7,66.3,1000.49,24483000,10.4
93,Makole,podravska,Slovenska Bistrica,37,2025,-2.5,64.5,938.18,18195000,10.5
94,Maribor,podravska,Maribor,148,112095,5.7,58.1,1084.82,6330245000,10.0
95,Markovci,podravska,Ptuj,30,4000,6.0,68.5,976.35,89437000,9.9
96,Medvode,osrednjeslovenska,Ljubljana,78,16651,15.6,68.7,1102.65,517144000,9.9
97,Mengeš,osrednjeslovenska,Domžale,23,8150,20.1,69.2,1013.56,318181000,9.9
98,Metlika,jugovzhodna Slovenija,Metlika,109,8397,11.0,69.3,950.63,235207000,11.5
